StationName,Continent,Latitude,Longitude,Hypothesis
S06C,north america,37.9,-119.8,U
S1-AUBSH,oceania,-26.9,153,U
S1-AUBUS,oceania,-33.7,115.4,U
S1-AUDCS,oceania,-32.2,148.6,U
S1-AUKHS,oceania,-33.5,151.4,U
S1-AUKUL,oceania,-32.7,118.2,U
S1-AUMAR,oceania,-34.9,138.6,U
S1-AUMAZ,oceania,-32,116,U
S1-AUMHS,oceania,-35.4,149.1,U
S1-AUMOU,oceania,-24.6,150,U
S1-AUMTS,oceania,-35.3,149,U
S18A,north america,37.7,-110,U
S39A,north america,37.7,-93.3,U
SCIA,north america,41.9,-93.2,U
SDR,north america,32.7,-116.9,U
SNB,north america,48.8,-123.2,U
T15A,north america,37,-112.4,U
T41A,north america,37,-91.8,U
T59A,north america,37,-77.6,U
TFRD,north america,33.5,-116.6,U
TM_CRAI,asia,20.2,100.4,U
TW_MATB,asia,26.1,119.9,U
U33A,north america,36.4,-98.1,U
UCCT,north america,41.8,-72.2,U
V48A,north america,35.7,-86.8,U
V53A,north america,35.7,-82.8,U
V55A,north america,35.9,-81.2,U
V57A,north america,35.9,-79.8,U
V59A,north america,35.8,-78.2,U
W06,north america,31.4,-83.9,U
W22,north america,32.4,-83.9,U
W25A,north america,35.2,-104.5,U
WVL,north america,44.6,-69.7,U
X37A,north america,34.6,-95.4,U
X4_C02,asia,35.7,94.4,U
X50B,north america,34.5,-85.6,U
X55A,north america,34.5,-81.6,U
XW_POGR,asia,41,75.6,U
Y13A,north america,33.8,-113.8,U
Y15A,north america,34,-112.3,U
Y19A,north america,34,-109.3,U
Y53A,north america,33.9,-83.6,U
Y55A,north america,33.9,-81.9,U
Z14A,north america,33.4,-112.9,U
